state,FY_End_Year,Fares_FY_Total,OperatingExpenses_FY_Total,UPT_FY_Total,FarePerTrip_FY_Derived,FareboxRecovery_FY_Derived
AK,2019.0,233684.0,2115869.0,158949.0,1.4701822597185261,0.11044351044417211
AK,2024.0,3232273.0,33876425.0,3044346.0,1.0617298427971065,0.09541363942623816
AL,2003.0,2000117.0,13568610.0,3673280.0,0.5445043666695705,0.14740765634799732
AL,2024.0,2102070.0,42168937.0,3188514.0,0.6592632179127957,0.04984877849778381
AR,2024.0,1233613.0,15912523.0,1746467.0,0.7063477294446445,0.07752466406490033
AZ,2004.0,1485526.0,6183273.0,2010824.0,0.738764804876011,0.2402491366627351
AZ,2007.0,1614180.0,3235426.0,745060.0,2.1665100797251227,0.4989080263309994
AZ,2012.0,245917.0,2002919.0,298550.0,0.8237045720984759,0.12277930360638648
AZ,2018.0,10943859.0,61293025.0,15205419.0,0.7197341289970371,0.17854982683592463
AZ,2024.0,34561277.0,487801762.0,59465808.0,0.5811957856521516,0.07085107043955285
CA,2002.0,12137516.0,43557310.0,19380860.0,0.6262630244478316,0.2786562347399323
CA,2004.0,0.0,9577866.0,0.0,,0.0
CA,2005.0,431071.0,2186683.0,833982.0,0.5168828583830346,0.19713465554906678
CA,2006.0,16964096.0,48234086.0,20011996.0,0.8476963517282334,0.35170348205623714
CA,2009.0,1264730.0,4400693.0,659637.0,1.917312097411152,0.2873933719075609
CA,2010.0,8332056.0,42440359.0,7768119.0,1.072596338959277,0.19632388123766814
CA,2011.0,3030301.0,10871135.0,1493018.0,2.029648001564616,0.27874743529539464
CA,2013.0,258934.0,1281086.0,86803.0,2.9830074997407925,0.20212070071798457
CA,2015.0,5588741.0,39928288.0,12419548.0,0.4499955231865121,0.13996946225192525
CA,2016.0,3203.0,78708.0,3758.0,0.8523150612027675,0.04069471972353509
CA,2019.0,0.0,0.0,0.0,,
CA,2020.0,0.0,3882292.0,375188.0,0.0,0.0
CA,2021.0,1195093.0,28684961.0,1383759.0,0.8636568940111681,0.04166270262664816
CA,2022.0,4523.0,229029.0,4686.0,0.9652155356380708,0.019748590789812642
CA,2023.0,0.0,307689.0,1803.0,0.0,0.0
CA,2024.0,428428013.0,5237844200.0,608023549.0,0.7046240457374127,0.0817947225310749
CO,2004.0,1659591.0,8134646.0,2596042.0,0.6392774076844674,0.20401514706356
CO,2024.0,37806661.0,567824161.0,49666022.0,0.7612178201024434,0.06658163494385017
CT,2006.0,40818.0,213122.0,40654.0,1.0040340433905643,0.19152410356509417
CT,2010.0,2286333.0,12235526.0,3421999.0,0.6681278983424601,0.18686021344730092
CT,2016.0,3470.0,128694.0,3964.0,0.8753784056508577,0.026963183986821453
CT,2018.0,19140.0,133665.0,11717.0,1.6335239395749765,0.143193805409045
CT,2021.0,687820.0,16145403.0,1426227.0,0.48226544582314035,0.04260159997245036
CT,2022.0,0.0,0.0,0.0,,
CT,2024.0,31022964.0,257179674.0,30344748.0,1.0223503586188951,0.12062758894390697
DC,2022.0,1016066.0,6541012.0,742254.0,1.3688925893292592,0.15533773672942353
DC,2024.0,50622833.0,1092179546.0,119124275.0,0.42495816238965567,0.046350284790995344
DE,2024.0,7868425.0,81447213.0,7371709.0,1.0673813901226974,0.09660766415666058
FL,2008.0,275747.0,1215561.0,432460.0,0.6376242889515793,0.22684752143249085
FL,2009.0,0.0,0.0,0.0,,
FL,2010.0,2124.0,79240.0,4248.0,0.5,0.026804644119131752
FL,2011.0,6874.0,289243.0,9017.0,0.7623378063657535,0.0237654843851018
FL,2013.0,0.0,1930451.0,1065108.0,0.0,0.0
FL,2014.0,18696.0,2001085.0,463384.0,0.04034666712704798,0.009342931459683122
FL,2015.0,647251.0,6753170.0,2650431.0,0.24420594235428125,0.09584402584267833
FL,2017.0,1474501.0,14838794.0,1959291.0,0.7525686587648287,0.09936798098282111
FL,2019.0,6219.0,201474.0,19531.0,0.3184168757360094,0.030867506477262576
FL,2020.0,0.0,3010793.0,694675.0,0.0,0.0
FL,2023.0,43021.0,2184745.0,66143.0,0.6504240811574921,0.019691542948948277
FL,2024.0,160106493.0,1341439361.0,165535882.0,0.9672011352801443,0.11935425309172809
GA,2007.0,14817.0,276267.0,56980.0,0.26003861003861006,0.05363289860895438
GA,2008.0,546870.0,1519332.0,425648.0,1.2847940081945646,0.35994107936909114
GA,2010.0,1335102.0,5102857.0,1509312.0,0.8845765487851418,0.261638137223912
GA,2011.0,5328580.0,14210955.0,1898758.0,2.8063502563254508,0.3749628367692389
GA,2013.0,2926447.0,12216664.0,3207744.0,0.9123069047904072,0.23954550931416302
GA,2014.0,0.0,0.0,0.0,,
GA,2024.0,38397370.0,405382797.0,42842803.0,0.8962385117519038,0.09471879488758868
HI,2005.0,39925419.0,127068678.0,67406827.0,0.5923052719867677,0.31420346562510076
HI,2024.0,46045779.0,257348235.0,42224388.0,1.0905019866717784,0.17892401321501195
IA,2012.0,0.0,0.0,0.0,,
IA,2018.0,30.0,8118.0,58.0,0.5172413793103449,0.003695491500369549
IA,2019.0,0.0,253595.0,244994.0,0.0,0.0
IA,2021.0,1986.0,101710.0,3081.0,0.6445959104186952,0.019526103627961852
IA,2024.0,10738967.0,71304050.0,14247771.0,0.7537296184785677,0.1506080930886815
ID,2003.0,32909.0,99585.0,8701.0,3.782208941500977,0.33046141487171765
ID,2017.0,841606.0,10571737.0,1345418.0,0.6255349638550993,0.07960905573038754
ID,2018.0,0.0,0.0,0.0,,
ID,2023.0,680454.0,14522985.0,989216.0,0.6878720117749814,0.04685359104894758
ID,2024.0,0.0,0.0,0.0,,
IL,2007.0,48035.0,123259.0,11717.0,4.099598873431765,0.3897078509480038
IL,2017.0,3736.0,53952.0,1042.0,3.5854126679462572,0.06924673784104389
IL,2020.0,201596.0,2793194.0,531936.0,0.3789854418576671,0.07217400581556455
IL,2024.0,225552564.0,1510952391.0,220583545.0,1.0225266984443468,0.14927840568869385
IN,2009.0,114952.0,2044722.0,188884.0,0.6085851633806992,0.05621888941381763
IN,2011.0,227528.0,4428471.0,294061.0,0.7737442231373762,0.05137845545336076
IN,2024.0,15397562.0,177279470.0,18408769.0,0.8364254013943029,0.08685473845335842
KS,2009.0,180965.0,2602564.0,499017.0,0.36264295605159746,0.06953335249392523
KS,2024.0,2479379.0,39063906.0,4908405.0,0.5051292629683166,0.0634698178927627
KY,2020.0,0.0,0.0,0.0,,
KY,2021.0,0.0,0.0,23314.0,0.0,
KY,2024.0,13438136.0,131051226.0,12591755.0,1.067217079747819,0.10254109335840933
LA,2003.0,122971.0,1464113.0,273408.0,0.44977103815543074,0.0839901018568922
LA,2015.0,34582.0,365297.0,27499.0,1.257573002654642,0.09466817411585642
LA,2020.0,5044656.0,64843095.0,4878597.0,1.03403826960907,0.07779789043073901
LA,2024.0,12016235.0,149419751.0,18020454.0,0.6668108916678792,0.08041932153935928
MA,2010.0,980611.0,7151430.0,1404112.0,0.6983851715532664,0.13712096741490862
MA,2011.0,0.0,0.0,0.0,,
MA,2015.0,545.0,18915.0,387.0,1.4082687338501292,0.028813111287338093
MA,2017.0,299.0,14027.0,277.0,1.0794223826714802,0.021316033364226137
MA,2024.0,85501665.0,869132455.0,113676985.0,0.7521457839509026,0.09837587413531808
MD,2008.0,658949.0,12069840.0,2356378.0,0.27964486173271014,0.0545946756543583
MD,2011.0,14459904.0,40008281.0,3856738.0,3.749257533179594,0.3614227764497055
MD,2022.0,398640.0,11598185.0,603074.0,0.6610134079731509,0.03437089510125938
MD,2023.0,207555.0,11944492.0,269010.0,0.7715512434481989,0.017376628491190753
MD,2024.0,33354022.0,703533175.0,72465632.0,0.460273664624908,0.047409309447276594
ME,2024.0,2681773.0,16125590.0,1961338.0,1.3673181267073804,0.16630541890250217
MI,2005.0,1150.0,54282.0,3799.0,0.30271123979994735,0.021185660071478575
MI,2007.0,75777.0,919635.0,99421.0,0.7621830398004446,0.08239899525355168
MI,2009.0,0.0,0.0,0.0,,
MI,2010.0,76180.0,1850166.0,191742.0,0.3973047115394645,0.04117468378513063
MI,2022.0,500.0,39888.0,427.0,1.17096018735363,0.012535098275170478
MI,2024.0,38770849.0,388077450.0,49259922.0,0.7870667964110865,0.0999049261945006
MN,2024.0,39389742.0,516729781.0,42252061.0,0.9322561093528668,0.07622889844624613
MO,2006.0,924695.0,1108577.0,749314.0,1.2340554160205202,0.8341278954912469
MO,2024.0,13819660.0,267567000.0,25449387.0,0.5430252602940888,0.051649343902648685
MS,2014.0,540825.0,3742942.0,635110.0,0.8515454015839776,0.14449195312136817
MS,2024.0,943117.0,11647792.0,1016004.0,0.9282611092082315,0.08096959492408519
MT,2024.0,561398.0,19972713.0,2118820.0,0.26495785389981213,0.028108249490191944
NC,2008.0,0.0,7495191.0,3836784.0,0.0,0.0
NC,2011.0,740118.0,5230372.0,1352235.0,0.5473294212914176,0.14150389303093547
NC,2014.0,559797.0,4827650.0,480821.0,1.1642523933022892,0.11595641771876586
NC,2017.0,1436.0,29319.0,2849.0,0.504036504036504,0.04897847811999045
NC,2018.0,17557237.0,97827608.0,17034252.0,1.0307019644889603,0.17947118772443052
NC,2019.0,2916518.0,35597102.0,5271428.0,0.5532690572649385,0.08193133250004453
NC,2024.0,14461345.0,331001420.0,35076530.0,0.4122798064688839,0.043689676618305744
ND,2024.0,756774.0,12885460.0,1168161.0,0.6478336462182867,0.05873084856885202
NE,2024.0,6977904.0,53467795.0,5555979.0,1.255926993244575,0.13050667228749568
NH,2009.0,234469.0,1192730.0,437892.0,0.5354493802124725,0.19658179135261122
NH,2012.0,13266.0,91349.0,20248.0,0.6551758198340577,0.14522326462249177
NH,2024.0,617651.0,7876621.0,710375.0,0.8694717578743621,0.07841573182205923
NJ,2001.0,0.0,0.0,0.0,,
NJ,2002.0,3345277.0,3325500.0,3331981.0,1.003990418912953,1.0059470756277251
NJ,2003.0,900418.0,887161.0,564026.0,1.596412222131604,1.014943172659754
NJ,2004.0,1763400.0,1654913.0,420352.0,4.195055572472595,1.0655545034693668
NJ,2011.0,5789318.0,6497162.0,3339251.0,1.733717531266742,0.8910533552957429
NJ,2012.0,149938836.0,161409940.0,16085649.0,9.321279856348973,0.9289318613215518
NJ,2013.0,16820484.0,20930289.0,2908274.0,5.783665500568378,0.8036431795088926
NJ,2014.0,14728565.0,16806417.0,5661844.0,2.6013724503889546,0.8763655572749385
NJ,2015.0,0.0,0.0,0.0,,
NJ,2018.0,0.0,0.0,0.0,,
NJ,2023.0,3159283.0,5633386.0,1692482.0,1.8666567798062255,0.5608142243403879
NJ,2024.0,333903153.0,1249029385.0,140715871.0,2.372889075177597,0.2673301020856287
NM,2011.0,0.0,0.0,0.0,,
NM,2024.0,173961.0,47421082.0,4778530.0,0.036404710235156,0.00366843169036084
NV,2011.0,5738458.0,25728187.0,7688345.0,0.7463840397380711,0.22304167798531627
NV,2016.0,347062.0,2743478.0,745305.0,0.4656643924299448,0.12650438603845193
NV,2024.0,60289553.0,282582151.0,57729098.0,1.0443529361917279,0.21335230405263636
NY,2004.0,49338432.0,97276632.0,37623496.0,1.311372871888354,0.5071971652965945
NY,2005.0,10192224.0,37780513.0,5843036.0,1.7443370193166703,0.2697746322290542
NY,2006.0,60065767.0,178173191.0,75689819.0,0.7935778918958705,0.33712011702142103
NY,2008.0,20.0,670325.0,82578.0,0.00024219525781685194,2.9836273449446165e-05
NY,2011.0,104982816.0,266485326.0,62911922.0,1.6687268909063055,0.3939534591859666
NY,2012.0,4407134.0,7261361.0,833116.0,5.289940416460613,0.6069294723124219
NY,2014.0,0.0,0.0,0.0,,
NY,2015.0,2331698.0,15781934.0,2310214.0,1.0092995713816988,0.14774475675794868
NY,2016.0,3220331.0,6386524.0,599667.0,5.370198793663817,0.5042384558485962
NY,2018.0,0.0,0.0,0.0,,
NY,2022.0,0.0,0.0,0.0,,
NY,2023.0,0.0,0.0,0.0,,
NY,2024.0,885731209.0,5268826711.0,877195060.0,1.009731186812657,0.16810786491626561
OH,2002.0,0.0,137496.0,17218.0,0.0,0.0
OH,2004.0,0.0,0.0,0.0,,
OH,2007.0,136320.0,1393827.0,401370.0,0.33963674415128187,0.09780266848037812
OH,2011.0,10342.0,267333.0,36993.0,0.2795664044548969,0.038685833772860063
OH,2016.0,8609.0,295079.0,28411.0,0.3030164372954137,0.029175237817669168
OH,2021.0,0.0,0.0,11776.0,0.0,
OH,2023.0,30928.0,1040960.0,35264.0,0.8770417422867514,0.029711035966799876
OH,2024.0,67722610.0,704677173.0,60104402.0,1.1267495848307416,0.09610444696496505
OK,2019.0,0.0,0.0,0.0,,
OK,2023.0,44734.0,2197997.0,46050.0,0.9714223669923996,0.020352166085758988
OK,2024.0,3081555.0,50635062.0,4764699.0,0.6467470453012877,0.060858126331513135
OR,2011.0,0.0,0.0,0.0,,
OR,2024.0,37026977.0,512855628.0,49240809.0,0.7519571215818164,0.07219766144401168
PA,2006.0,1917.0,70542.0,926.0,2.070194384449244,0.027175299821383007
PA,2007.0,80192.0,723740.0,39898.0,2.0099253095393252,0.11080222179235637
PA,2011.0,0.0,0.0,0.0,,
PA,2012.0,19265727.0,15116410.0,1237309.0,15.570667472717002,1.2744909009480425
PA,2015.0,130729.0,1068838.0,56349.0,2.3199879323501746,0.12230946130283542
PA,2016.0,5310875.0,19012233.0,4809865.0,1.1041630066540329,0.2793398860617793
PA,2020.0,614058.0,3511738.0,207303.0,2.962127899740959,0.17485871668102804
PA,2022.0,2603737.0,28313243.0,1922223.0,1.3545447120339316,0.09196180741287743
PA,2023.0,611320.0,8328045.0,774502.0,0.7893071935256462,0.07340498280208621
PA,2024.0,199378708.0,1347761511.0,159682238.0,1.2485966535614312,0.14793322585096436
PR,2024.0,796716.0,51820581.0,4356647.0,0.18287366408157466,0.015374509212855023
RI,2010.0,2095633.0,1757030.0,151510.0,13.831648076034584,1.192713271828028
RI,2024.0,16825071.0,113028701.0,12691566.0,1.3256891229971148,0.1488566253627917
SC,2024.0,9216139.0,62352592.0,5867251.0,1.5707763311983756,0.14780683054843974
SD,2023.0,369203.0,6295106.0,499713.0,0.7388300884707822,0.05864921099025179
SD,2024.0,256102.0,7216243.0,496460.0,0.5158562623373484,0.03548965853838348
TN,2024.0,11084439.0,176598923.0,15495353.0,0.7153395601894322,0.0627661755332449
TX,2006.0,245981.0,1919758.0,441811.0,0.5567561694932901,0.1281312540434784
TX,2011.0,0.0,0.0,0.0,,
TX,2012.0,7909118.0,73522541.0,19606477.0,0.40339312360910123,0.10757405677804308
TX,2013.0,0.0,0.0,0.0,,
TX,2015.0,285171.0,945473.0,67689.0,4.212959269600674,0.30161728573951874
TX,2018.0,5956.0,183340.0,14790.0,0.40270453008789725,0.03248609141485764
TX,2019.0,12248.0,20861.0,117184.0,0.1045193883123976,0.5871242989310196
TX,2020.0,1795.0,1229017.0,766082.0,0.0023430912095572013,0.001460516819539518
TX,2021.0,0.0,0.0,0.0,,
TX,2024.0,98096152.0,1633746342.0,165656942.0,0.5921644503132263,0.060043685777996986
UT,2007.0,0.0,1964397.0,1102479.0,0.0,0.0
UT,2009.0,0.0,1797233.0,1004524.0,0.0,0.0
UT,2024.0,17013820.0,227478411.0,21202632.0,0.8024390556795025,0.07479311959850116
VA,2003.0,2694398.0,22323376.0,6831313.0,0.39441875961473294,0.12069850008349992
VA,2011.0,2072307.0,2265787.0,206213.0,10.04935188373187,0.9146080368543027
VA,2012.0,0.0,779659.0,427157.0,0.0,0.0
VA,2019.0,29776.0,1739446.0,1265282.0,0.023533093808336798,0.01711809392185788
VA,2022.0,0.0,54285.0,2544.0,0.0,0.0
VA,2024.0,25241247.0,417000708.0,43706239.0,0.5775204542308021,0.060530465574173554
VI,2024.0,0.0,0.0,0.0,,
VT,2024.0,282082.0,16494264.0,2483607.0,0.11357755071555202,0.017101824003787014
WA,2011.0,15514636.0,81390458.0,10461590.0,1.4830093704685425,0.1906198389988173
WA,2024.0,91791398.0,1381649734.0,118836747.0,0.7724159430247616,0.06643608415445185
WI,2002.0,836819.0,4516036.0,568489.0,1.472005614884369,0.1852994528830151
WI,2004.0,0.0,0.0,0.0,,
WI,2008.0,223986.0,973919.0,115491.0,1.939423851209185,0.2299842184000928
WI,2011.0,580890.0,2217313.0,225562.0,2.5753008042134757,0.2619792514633703
WI,2017.0,32183979.0,128868705.0,34606043.0,0.9300103741996737,0.2497423947885563
WI,2023.0,0.0,0.0,0.0,,
WI,2024.0,36393484.0,253577147.0,39519599.0,0.9208970971593108,0.14352036226671483
WV,2024.0,2294474.0,21057426.0,2064434.0,1.111430057826988,0.1089627003794291
WY,2021.0,0.0,0.0,0.0,,
WY,2024.0,0.0,0.0,0.0,,
